trade_date,open,high,low,close
2025-05-06,1016.44,1027.02,1013.58,1026.52
2025-05-07,1044.17,1044.57,1021.79,1030.19
2025-05-08,1024.97,1030.09,1022.49,1026.44
2025-05-09,1020.79,1020.79,1006.32,1006.32
2025-05-12,1008.96,1016.73,1004.49,1011.23
2025-05-13,1020.34,1021.53,1009.63,1009.68
2025-05-14,1014.10,1021.39,1006.51,1013.77
2025-05-15,1011.57,1011.69,999.26,1000.97
2025-05-16,997.45,999.41,991.42,995.24
2025-05-19,994.28,998.62,985.98,995.25
2025-05-20,995.75,1002.00,993.69,997.68
2025-05-21,996.66,999.96,993.74,995.49
2025-05-22,994.08,1000.38,989.06,990.71
2025-05-23,989.71,997.02,980.58,980.58
2025-05-26,982.07,985.47,978.14,982.26
2025-05-27,982.02,983.43,972.67,972.92
2025-05-28,973.90,975.86,969.68,970.64
2025-05-29,972.26,986.45,970.69,986.30
2025-05-30,981.35,981.35,974.11,977.03
2025-06-03,977.23,987.62,976.11,981.71
2025-06-04,982.36,988.16,981.62,986.11
2025-06-05,987.53,997.93,982.85,996.41
2025-06-06,995.31,995.70,989.15,991.64
2025-06-09,991.31,1002.40,989.53,997.61
2025-06-10,1004.55,1004.78,978.79,982.90
2025-06-11,982.60,990.14,980.29,980.93
2025-06-12,978.69,982.12,974.63,977.97
2025-06-13,971.69,978.42,966.87,972.94
2025-06-16,968.19,975.54,968.19,970.89
2025-06-17,971.53,972.20,960.64,963.08
2025-06-18,962.24,971.80,960.02,968.18
2025-06-19,966.92,974.48,960.54,962.94
2025-06-20,963.78,967.98,956.87,957.87
2025-06-23,952.33,966.19,952.33,961.49
2025-06-24,963.79,980.52,963.79,978.71
2025-06-25,979.97,996.66,976.16,995.61
2025-06-26,995.57,1005.89,989.97,989.97
2025-06-27,996.68,998.58,987.83,988.21
2025-06-30,992.30,1004.47,992.30,1003.41
2025-07-01,1002.09,1002.09,992.55,994.80
2025-07-02,992.38,992.47,981.22,982.64
2025-07-03,984.34,987.09,980.81,984.95
2025-07-04,984.53,997.41,976.83,984.80
2025-07-07,983.20,987.11,976.90,978.29
2025-07-08,978.90,993.19,977.60,991.95
2025-07-09,991.34,993.61,981.50,983.11
2025-07-10,981.74,986.31,978.89,979.99
2025-07-11,980.38,1000.03,979.18,994.45
2025-07-14,995.29,998.97,992.39,992.39
2025-07-15,990.73,998.08,986.50,996.25
2025-07-16,996.33,1008.47,994.38,997.63
2025-07-17,997.71,1005.67,992.56,1005.65
2025-07-18,1008.13,1013.12,1003.09,1007.53
2025-07-21,1007.58,1010.34,1005.03,1007.89
2025-07-22,1007.51,1019.03,1005.84,1016.27
2025-07-23,1016.58,1030.54,1014.84,1020.86
2025-07-24,1019.72,1032.84,1019.31,1032.84
2025-07-25,1032.45,1059.73,1028.79,1054.20
2025-07-28,1054.91,1059.05,1048.55,1055.11
2025-07-29,1053.12,1071.44,1051.55,1070.45
2025-07-30,1065.94,1073.82,1051.11,1058.57
2025-07-31,1057.32,1070.76,1045.45,1047.87
2025-08-01,1047.38,1056.42,1029.53,1036.77
2025-08-04,1034.13,1049.46,1033.85,1049.41
2025-08-05,1048.71,1054.11,1046.53,1053.65
2025-08-06,1051.87,1060.40,1049.60,1059.76
2025-08-07,1059.84,1069.04,1053.73,1058.21
2025-08-08,1052.46,1052.74,1042.84,1043.54
2025-08-11,1043.23,1053.70,1043.08,1049.73
2025-08-12,1048.21,1077.88,1044.33,1069.81
2025-08-13,1069.52,1079.14,1067.50,1077.70
2025-08-14,1079.22,1109.85,1079.22,1085.74
2025-08-15,1079.16,1104.50,1077.00,1101.29
2025-08-18,1114.32,1138.42,1105.58,1124.82
2025-08-19,1122.64,1133.63,1111.66,1112.27
2025-08-20,1109.70,1148.74,1105.27,1148.15
2025-08-21,1150.98,1173.28,1143.16,1149.15
2025-08-22,1162.29,1248.07,1162.29,1247.86
2025-08-25,1282.05,1320.72,1252.84,1287.73
2025-08-26,1266.59,1284.07,1257.44,1270.87
